order_id;seller_id;buyer_id;kodepos;subtotal;discount;total;created_at;paid_at;delivery_at
698;67;4564;62747;5664000;0;5664000;2020-04-06;2020-04-13;2020-04-13
704;52;9310;96996;869000;0;869000;2019-08-23;2019-08-26;NA
706;33;582;60829;1005000;0;1005000;2020-02-14;NA;NA
708;60;4791;81542;1620000;0;1620000;2019-12-20;2019-12-28;2020-01-06
712;68;9043;66282;2256000;0;2256000;2020-04-24;2020-04-30;2020-05-06
726;42;5771;19935;3008000;0;3008000;2019-12-29;2020-01-10;2020-01-18
730;28;14480;84309;324000;0;324000;2020-02-04;2020-02-05;2020-02-07
736;16;9508;29371;2233000;0;2233000;2020-05-16;2020-05-22;2020-05-23
742;28;5586;33697;2584000;0;2584000;2019-09-23;2019-09-29;2019-10-07
744;47;13763;44288;305000;0;305000;2019-10-11;2019-10-24;2019-10-27
758;66;6062;82046;2897000;0;2897000;2019-09-28;2019-10-12;2019-10-24
765;40;7466;04275;5620000;0;5620000;2020-04-07;2020-04-18;2020-04-25
766;7;11256;56139;30000;0;30000;2020-01-19;2020-02-02;2020-02-08
775;7;1596;44574;1040000;104000;936000;2020-03-10;2020-03-23;2020-03-27
779;46;13284;67138;2872000;0;2872000;2020-02-17;2020-02-26;NA
781;16;9029;41944;6758000;0;6758000;2020-05-22;2020-05-28;NA
782;28;3403;57381;1254000;0;1254000;2019-04-07;2019-04-15;2019-04-15
783;3;15100;62557;336000;0;336000;2020-01-13;2020-01-20;2020-01-24
809;35;13771;29768;5493000;495000;4998000;2020-02-02;2020-02-14;2020-02-18
810;24;10576;58616;764000;0;764000;2020-01-16;2020-01-28;2020-02-03
814;52;3319;40696;972000;0;972000;2019-12-17;2019-12-21;2020-01-01
815;15;17123;57902;2654000;0;2654000;2019-11-13;2019-11-14;NA
816;14;4189;07987;3806000;0;3806000;2020-05-23;2020-05-29;NA
821;65;13008;95382;315000;0;315000;2019-09-18;2019-09-30;2019-09-30
823;22;17524;80512;1804000;0;1804000;2019-05-05;2019-05-15;2019-05-27
827;33;10588;01422;2349000;0;2349000;2020-05-30;2020-05-31;2020-06-10
838;18;9635;01962;2848000;0;2848000;2019-06-27;2019-07-01;2019-07-01
844;35;2534;60544;2236000;0;2236000;2020-05-31;2020-06-04;2020-06-08
845;28;2559;87550;2244000;0;2244000;2019-09-13;2019-09-16;2019-09-30
846;55;14770;26205;1050000;79200;970800;2020-05-27;2020-06-09;2020-06-13
852;6;13959;95782;4040000;0;4040000;2020-03-29;2020-04-05;2020-04-05
857;68;9349;66894;1694000;0;1694000;2019-12-16;2019-12-30;2020-01-05
865;19;12563;74093;237000;0;237000;2019-12-11;2019-12-13;2019-12-20
874;61;10133;65467;1642000;0;1642000;2020-04-07;2020-04-11;2020-04-15
875;68;2799;75613;5762000;0;5762000;2020-05-29;2020-06-09;2020-06-17
876;10;3643;64928;2434000;0;2434000;2020-03-23;2020-03-29;2020-04-09
877;47;6055;77419;108000;0;108000;2019-08-21;2019-09-04;2019-09-12
895;10;11805;79487;11465000;0;11465000;2020-04-16;2020-04-17;2020-04-27
898;15;13222;14922;240000;0;240000;2019-12-12;2019-12-19;2019-12-19
899;43;9665;52801;229000;0;229000;2020-03-20;2020-03-29;2020-04-04
906;7;16873;68622;1192000;0;1192000;2020-03-19;2020-03-21;2020-03-24
911;31;13159;51719;2160000;0;2160000;2020-05-29;2020-06-06;2020-06-11
916;20;4006;91476;1992000;451000;1541000;2019-09-07;2019-09-20;2019-09-24
920;20;6153;61623;3492000;0;3492000;2019-11-04;2019-11-06;2019-11-20
923;62;14380;55193;1668000;0;1668000;2020-02-25;2020-03-03;2020-03-09
931;62;578;38966;1414000;0;1414000;2020-02-14;2020-02-15;2020-02-21
934;69;7898;73550;2390000;0;2390000;2020-01-10;2020-01-19;2020-01-22
939;20;4501;67106;240000;0;240000;2019-12-08;2019-12-17;NA
948;62;7741;24223;279000;0;279000;2019-11-05;2019-11-13;2019-11-15
968;10;16856;06045;176000;0;176000;2019-08-19;2019-09-01;2019-09-05
970;49;5697;63310;1378000;0;1378000;2019-07-14;2019-07-15;2019-07-19
972;32;5698;27984;1785000;0;1785000;2020-04-23;NA;NA
980;32;6708;08154;152000;0;152000;2019-04-30;2019-05-10;2019-05-11
992;68;13122;49496;152000;0;152000;2020-02-03;2020-02-11;2020-02-20
996;15;7162;91557;1258000;0;1258000;2019-11-02;NA;NA
1001;1;14352;63592;2370000;0;2370000;2019-07-04;2019-07-12;2019-07-19
1014;17;3102;43455;270000;0;270000;2020-04-30;NA;NA
1016;56;3609;19406;3494000;0;3494000;2020-05-24;2020-06-04;2020-06-05
1042;34;13669;15948;3292000;0;3292000;2020-04-11;2020-04-12;2020-04-13
1044;59;10085;10266;651000;0;651000;2020-04-28;2020-05-05;2020-05-10
1046;27;12328;94672;4785000;0;4785000;2020-05-27;2020-06-06;2020-06-15
1048;69;1995;02761;192000;0;192000;2019-10-17;NA;NA
1064;15;5949;87545;286000;0;286000;2019-03-21;2019-03-29;2019-03-31
1065;35;8649;60739;2547000;0;2547000;2020-05-23;2020-05-26;2020-06-01
1075;6;4510;68488;195000;0;195000;2019-09-13;2019-09-15;2019-09-17
1087;18;17442;27970;86000;0;86000;2019-08-07;2019-08-14;2019-08-17
1090;18;9018;85908;1620000;0;1620000;2019-12-23;2019-12-29;2020-01-02
1103;7;6333;99072;1170000;0;1170000;2019-11-09;2019-11-19;2019-12-03
1117;37;4877;26968;833000;0;833000;2019-10-15;2019-10-18;2019-10-20
1134;32;3099;98568;805000;0;805000;2019-11-19;2019-11-30;2019-12-02
1135;43;14164;76289;648000;0;648000;2019-04-08;2019-04-22;2019-05-04
1138;29;13380;28810;1287000;0;1287000;2020-03-25;NA;NA
1153;63;8123;26572;4602000;95200;4506800;2020-05-17;2020-05-20;2020-05-27
1157;34;2180;42641;2062000;292500;1769500;2020-05-23;2020-05-24;2020-06-07
1166;31;14948;20798;2954000;0;2954000;2019-10-26;2019-11-09;2019-11-21
1174;64;8379;74807;142000;0;142000;2019-12-18;2019-12-26;2019-12-31
1175;2;13703;81476;462000;0;462000;2019-09-05;2019-09-11;2019-09-13
1177;53;11186;27653;776000;58800;717200;2020-01-16;2020-01-26;2020-02-05
1187;63;5385;40688;1356000;0;1356000;2020-02-18;2020-02-19;2020-02-21
1204;39;6827;14227;476000;0;476000;2020-03-05;2020-03-13;2020-03-22
1205;33;8817;54834;5699000;0;5699000;2020-02-29;2020-03-06;2020-03-08
1213;42;16042;77494;1248000;0;1248000;2020-05-27;2020-06-02;2020-06-05
1219;25;14851;93819;711000;0;711000;2019-11-02;2019-11-15;2019-11-19
1220;21;9969;34859;372000;0;372000;2019-12-31;2020-01-07;2020-01-09
1224;54;17522;23693;450000;0;450000;2019-06-07;2019-06-16;2019-06-24
1230;34;8126;19091;1197000;0;1197000;2020-01-07;2020-01-09;NA
1239;21;13503;10017;447000;0;447000;2019-12-18;2019-12-23;2019-12-23
1240;4;6645;75922;1307000;0;1307000;2019-12-16;2019-12-21;2019-12-25
1263;40;14802;54072;336000;0;336000;2019-08-02;2019-08-10;2019-08-21
1272;3;17425;11604;1743000;91800;1651200;2020-03-12;2020-03-21;2020-03-25
1276;12;11546;88206;242000;0;242000;2019-11-25;2019-12-07;2019-12-09
1277;44;10824;83489;1224000;0;1224000;2020-02-10;2020-02-13;2020-02-23
1299;16;2214;02416;616000;0;616000;2019-11-28;2019-12-02;NA
1300;9;14131;74312;3985000;360000;3625000;2020-05-18;2020-05-29;2020-06-01
1301;51;8142;65217;960000;0;960000;2019-02-21;2019-03-06;2019-03-12
1306;38;12487;98623;74000;0;74000;2020-03-20;2020-03-29;2020-04-02
1308;56;4167;33716;1225000;0;1225000;2020-05-18;2020-05-29;2020-06-09
1311;49;14917;86136;2044000;0;2044000;2020-05-01;2020-05-05;2020-05-19
1313;44;12809;46677;690000;36000;654000;2019-11-11;2019-11-22;2019-11-25
1326;41;14914;52040;1008000;0;1008000;2019-08-22;NA;NA
1333;5;17370;91148;1608000;0;1608000;2019-11-10;2019-11-13;2019-11-20
1343;48;2443;83287;892000;74400;817600;2019-11-10;2019-11-17;2019-11-26
1347;1;12351;37726;264000;0;264000;2019-04-16;2019-04-23;2019-04-26
1349;25;3219;61469;978000;0;978000;2020-04-04;2020-04-07;2020-04-17
1352;36;15202;57185;646000;0;646000;2019-12-21;2019-12-28;2020-01-06
1353;20;17766;32883;460000;0;460000;2019-10-15;2019-10-23;2019-10-31
1355;10;16025;37410;3800000;380000;3420000;2019-11-24;2019-11-28;2019-11-30
1356;68;8492;95585;1178000;0;1178000;2020-05-03;2020-05-06;2020-05-17
1358;1;11443;25865;5396000;0;5396000;2020-05-26;2020-06-08;2020-06-11
1371;11;10052;70607;360000;0;360000;2020-04-05;2020-04-13;2020-04-17
1376;41;9678;29030;88000;0;88000;2019-02-01;2019-02-03;2019-02-07
1384;26;4534;55560;1058000;0;1058000;2020-05-27;2020-06-04;2020-06-13
1392;16;14862;60563;6065000;0;6065000;2020-05-27;2020-05-30;2020-06-11
1394;33;12196;22058;1379000;74800;1304200;2020-01-05;2020-01-17;2020-01-29
1401;67;15406;51235;3425000;0;3425000;2019-08-03;2019-08-12;2019-08-12
1402;60;4637;11516;1872000;0;1872000;2019-10-25;2019-11-05;2019-11-17
1417;54;5519;75946;1352000;0;1352000;2019-12-27;2020-01-01;2020-01-13
1426;64;2371;93605;1248000;0;1248000;2019-03-05;2019-03-14;2019-03-21
1429;25;6405;36801;21000;0;21000;2019-07-30;2019-07-31;2019-08-08
1431;56;6307;28576;228000;0;228000;2020-01-08;2020-01-14;2020-01-28
1441;34;10409;79016;803000;0;803000;2020-05-17;2020-05-20;2020-05-21
1454;17;7173;30804;650000;0;650000;2020-04-08;2020-04-19;2020-04-25
1458;17;6729;99674;115000;0;115000;2019-08-26;2019-09-08;2019-09-09
1463;32;14268;44785;963000;0;963000;2020-03-10;2020-03-15;2020-03-16
1466;12;3657;06808;1350000;0;1350000;2020-05-28;2020-06-10;2020-06-17
1467;37;12899;84006;780000;0;780000;2019-06-10;2019-06-18;2019-06-20
1472;51;7897;01176;2895000;15600;2879400;2020-05-20;2020-05-29;2020-06-05
1483;56;12114;85020;78000;0;78000;2019-06-07;2019-06-19;2019-06-21
1491;18;3366;66079;1021000;0;1021000;2019-12-19;2019-12-29;2020-01-01
1492;31;9709;54072;11138000;126000;11012000;2020-05-10;2020-05-11;2020-05-17
1493;49;12381;97899;90000;0;90000;2019-10-25;2019-11-07;2019-11-15
1499;13;12619;00106;370000;0;370000;2019-09-11;2019-09-17;2019-09-28
1505;8;16336;61007;186000;0;186000;2019-10-20;2019-10-27;2019-11-04
1507;18;16252;31387;3353000;0;3353000;2019-12-06;2019-12-18;2019-12-20
1508;66;1149;44863;1165000;0;1165000;2020-04-02;2020-04-06;2020-04-17
1522;61;9136;77354;412000;0;412000;2019-12-21;2019-12-23;2020-01-02
1532;68;10634;89207;858000;0;858000;2019-09-29;2019-10-08;2019-10-22
1537;2;3554;05564;12000;0;12000;2019-11-20;NA;NA
1543;52;8474;37487;4680000;0;4680000;2019-07-03;2019-07-07;NA
1558;50;15772;43318;1184000;0;1184000;2019-04-16;2019-04-27;2019-05-08
1566;48;8026;62606;120000;0;120000;2019-05-26;2019-06-02;2019-06-11
1573;55;7027;17562;471000;0;471000;2019-11-27;2019-12-02;NA
1591;9;14945;30479;260000;39000;221000;2019-07-08;2019-07-13;2019-07-16
1595;41;505;32284;1326000;0;1326000;2019-11-30;2019-12-06;2019-12-09
1597;36;14818;37187;380000;0;380000;2020-03-26;2020-03-29;2020-03-29
1603;6;6239;58250;5170000;0;5170000;2019-07-29;2019-08-10;2019-08-19
1608;7;11803;31452;4849000;0;4849000;2020-05-30;2020-05-31;2020-06-07
1617;26;3439;96996;3006000;0;3006000;2020-05-29;NA;NA
1618;45;5618;51467;418000;0;418000;2020-01-09;2020-01-20;2020-01-30
1619;18;17564;57638;1023000;0;1023000;2020-04-24;2020-05-01;2020-05-10
1622;3;10109;13531;374000;0;374000;2019-12-23;2020-01-02;2020-01-07
1625;30;6422;71364;572000;0;572000;2019-11-17;2019-11-28;2019-12-03
1629;11;1430;04462;444000;0;444000;2020-04-28;2020-05-09;2020-05-23
1633;59;12210;24755;1140000;0;1140000;2020-04-24;2020-04-28;2020-05-05
1643;53;13277;29737;2520000;0;2520000;2019-07-16;2019-07-22;2019-07-30
1649;47;4324;44264;120000;0;120000;2019-12-14;2019-12-24;NA
1652;33;7862;14668;986000;0;986000;2019-01-31;2019-02-09;2019-02-10
1654;9;9794;83914;731000;0;731000;2020-05-06;2020-05-16;2020-05-27
1655;20;6022;45098;3082000;0;3082000;2019-12-08;2019-12-10;2019-12-16
1659;21;7242;54540;5615000;19800;5595200;2020-04-16;2020-04-21;2020-04-28
1675;42;4432;79679;2054000;0;2054000;2019-09-02;2019-09-10;2019-09-12
1686;11;2146;63890;247000;0;247000;2019-09-04;2019-09-16;2019-09-26
1702;66;7909;86244;3260000;465000;2795000;2019-11-24;2019-12-02;2019-12-03
1707;15;15075;17019;2059000;283650;1775350;2020-02-21;2020-03-06;NA
1713;1;5129;38933;4875000;0;4875000;2019-11-27;2019-12-03;2019-12-04
1716;63;6584;65573;1557000;224400;1332600;2020-05-03;2020-05-14;2020-05-14
1727;65;9350;39680;442000;0;442000;2019-12-26;2020-01-09;2020-01-11
1729;44;2330;89224;2079000;0;2079000;2019-05-13;2019-05-18;2019-06-01
1741;29;1403;77482;1000000;0;1000000;2020-02-02;2020-02-15;NA
1745;17;1589;85452;252000;0;252000;2019-11-14;2019-11-16;2019-11-21
1751;60;5441;56998;192000;0;192000;2019-12-03;2019-12-12;2019-12-12
1755;9;12934;77054;4482000;0;4482000;2020-03-22;2020-04-04;2020-04-09
1757;22;17033;66698;6032000;0;6032000;2019-11-24;2019-11-27;2019-12-09
1761;62;12260;93590;252000;0;252000;2019-06-07;2019-06-19;2019-06-26
1785;65;12097;51651;2470000;0;2470000;2020-03-16;2020-03-21;2020-03-29
1789;21;4008;21711;133000;0;133000;2020-05-24;2020-06-06;2020-06-12
1790;32;16281;87681;9024000;0;9024000;2020-01-22;2020-01-29;2020-02-04
1791;16;11158;84487;1100000;275000;825000;2019-12-12;2019-12-19;2020-01-02
1798;18;17147;28687;1100000;0;1100000;2020-02-09;2020-02-10;2020-02-18
1802;47;14411;33318;7824000;0;7824000;2020-02-29;2020-03-04;2020-03-05
1805;62;5972;65761;328000;0;328000;2019-07-20;2019-07-22;2019-07-23
1807;48;15043;57302;490000;0;490000;2019-12-02;2019-12-06;2019-12-06
1814;61;11152;77237;2753000;0;2753000;2020-03-29;2020-04-02;2020-04-04
1817;69;11771;18948;832000;0;832000;2019-10-01;2019-10-12;2019-10-14
1832;41;9851;27785;156000;0;156000;2020-02-28;2020-03-08;2020-03-17
1836;35;13184;62502;1152000;0;1152000;2019-12-04;2019-12-11;2019-12-20
1838;58;10663;57456;310000;0;310000;2019-10-12;2019-10-26;2019-11-07
1840;50;924;58779;9715000;118250;9596750;2019-12-28;2020-01-09;NA
1845;47;16232;31209;924000;0;924000;2020-03-30;2020-04-02;2020-04-08
1884;64;15527;75917;380000;0;380000;2019-04-21;2019-05-02;NA
1892;2;13487;99412;4368000;0;4368000;2019-11-27;2019-12-01;2019-12-01
1916;53;729;82784;1836000;0;1836000;2019-08-14;2019-08-18;2019-08-25
1942;28;6765;87529;65000;6500;58500;2019-12-27;NA;NA
1944;12;1557;26203;950000;0;950000;2020-03-18;2020-03-19;2020-04-02
1950;69;11507;11989;1389000;0;1389000;2020-02-11;2020-02-16;2020-02-24
1951;65;2318;45334;1417000;185000;1232000;2020-04-01;NA;NA
1954;49;15996;82783;225000;0;225000;2019-11-09;2019-11-18;2019-11-30
1955;13;16533;04724;3060000;0;3060000;2019-10-31;2019-11-02;2019-11-13
1961;25;13164;72644;136000;0;136000;2019-12-11;2019-12-19;2019-12-21
1965;28;8718;11727;1036000;0;1036000;2019-12-01;2019-12-02;2019-12-02
1966;53;11399;62321;378000;0;378000;2020-01-16;2020-01-25;2020-01-30
1970;28;4793;70186;2584000;0;2584000;2020-03-26;2020-03-29;2020-04-06
1975;13;17039;68246;104000;0;104000;2019-11-11;2019-11-23;2019-11-23
1983;39;11701;28899;3624000;0;3624000;2019-09-05;2019-09-18;2019-09-26
1992;32;14029;28992;2658000;0;2658000;2020-02-14;2020-02-25;2020-03-03
1994;17;3628;99580;722000;0;722000;2019-09-05;2019-09-09;2019-09-19
1995;8;6930;72695;598000;0;598000;2019-10-12;2019-10-22;2019-10-28
1998;60;2780;59106;119000;0;119000;2020-01-10;2020-01-19;2020-01-22
2006;15;9875;95636;444000;0;444000;2020-01-30;2020-02-10;2020-02-18
2013;24;12162;54944;4901000;0;4901000;2019-10-25;2019-11-08;2019-11-17
2018;64;9349;31670;1558000;0;1558000;2019-11-19;2019-11-20;2019-11-29
2039;50;6949;78708;4734000;0;4734000;2020-04-13;NA;NA
2041;48;14840;10256;72000;0;72000;2020-01-03;2020-01-06;NA
2048;26;17413;66880;4507000;0;4507000;2019-10-16;NA;NA
2051;2;5083;06586;3426000;0;3426000;2020-03-28;2020-04-02;2020-04-07
2053;59;16359;79515;5864000;0;5864000;2019-10-17;2019-10-28;2019-10-30
2060;26;14565;75694;942000;0;942000;2019-12-06;2019-12-11;2019-12-20
2064;8;877;94472;4484000;0;4484000;2020-02-10;2020-02-22;2020-03-05
2078;66;16824;13422;315000;0;315000;2019-06-16;2019-06-21;2019-06-26
2088;9;4414;90337;10890000;0;10890000;2020-04-29;2020-05-03;2020-05-04
2102;63;4800;86646;648000;0;648000;2019-03-30;2019-04-09;2019-04-19
2103;33;15421;90354;1488000;0;1488000;2019-07-19;2019-07-20;2019-08-01
2109;50;6424;74798;5032000;1006400;4025600;2019-09-05;2019-09-15;2019-09-15
2112;15;17569;17628;2818000;0;2818000;2019-11-12;2019-11-16;2019-11-26
2126;33;13838;02500;2738000;0;2738000;2020-05-23;2020-05-30;NA
2130;59;7488;89202;5600000;0;5600000;2019-08-24;2019-09-05;NA
2135;2;3630;97418;522000;0;522000;2020-03-07;2020-03-18;2020-03-28
2142;39;9162;45104;2448000;36000;2412000;2019-12-03;2019-12-12;2019-12-14
2148;12;5667;51206;4860000;0;4860000;2020-04-08;2020-04-18;2020-04-25
2149;44;6365;57381;6468000;0;6468000;2019-12-19;2019-12-25;2019-12-30
2152;34;3241;56469;4127000;0;4127000;2020-04-04;2020-04-09;2020-04-20
2162;2;6780;97297;805000;0;805000;2020-01-16;2020-01-21;2020-02-02
2163;14;17332;56740;69000;0;69000;2019-05-29;2019-06-04;2019-06-09
2170;44;4454;72074;1522000;0;1522000;2020-05-24;2020-06-03;2020-06-17
2180;56;5250;75534;1824000;273600;1550400;2020-04-21;NA;NA
2184;47;15963;53891;540000;0;540000;2019-12-25;2020-01-07;2020-01-08
2194;16;4515;45481;388000;0;388000;2019-11-03;2019-11-17;2019-12-01
2195;1;5532;30042;3656000;0;3656000;2020-03-08;2020-03-22;2020-03-27
2198;66;1957;45292;1044000;0;1044000;2020-05-31;2020-06-08;2020-06-17
2201;54;9568;05857;1418000;0;1418000;2020-03-21;NA;NA
2207;69;5147;65569;805000;0;805000;2019-12-18;2019-12-22;2019-12-25
2212;23;12295;47436;924000;138600;785400;2019-11-04;NA;NA
2215;40;2529;80027;16174000;0;16174000;2020-05-24;2020-06-06;2020-06-12
2224;4;4039;85686;647000;0;647000;2020-05-19;2020-05-26;2020-06-06
2228;47;3019;83150;1066000;0;1066000;2019-08-11;2019-08-16;2019-08-30
